,exports,govtexp,pc,privateinvest,realgdp,years
0,-0.231419460618,0.0204700624252,0.025030122785,0.164806387605,0.0280344557264,1947.0
1,-0.317062716845,0.044955940052,0.0201354533542,0.304920761052,0.0453266601523,1947.0
2,-0.241481835107,0.0581640592519,0.0183060352519,0.344527311005,0.0519354753389,1947.0
3,-0.157241872397,0.101040316191,0.0259754864033,0.11899510051,0.0373416758375,1947.0
4,0.00138408326594,0.11582541968,0.0225921093255,-0.141286332914,0.00900681595393,1948.0
5,0.0919684891424,0.125454306153,0.0261795055818,-0.344102564457,-0.0104905628098,1948.0
6,-0.0195936939004,0.114714686915,0.0270019176088,-0.274399479287,-0.00512821636692,1948.0
7,-0.126919069656,0.058219421897,0.0336679415487,-0.275948472755,-0.0151488045484,1948.0
8,-0.25547243843,0.0153751785233,0.0484910571342,0.0996865544041,0.0376868234843,1949.0
9,-0.236481762396,-0.010359148032,0.0496436689015,0.344102564457,0.070803838985,1949.0
10,-0.122933261633,-0.0357778930031,0.0974385949392,0.346959522438,0.0976982513604,1949.0
11,0.0986597323419,0.0540114067976,0.0522014128748,0.516604571236,0.125782084642,1949.0
12,0.164303051291,0.17085778545,0.0596083706258,0.196185572018,0.100286742855,1950.0
13,0.246197314183,0.278818337767,0.0146452321712,0.117264993843,0.0877212199812,1950.0
14,0.244598486315,0.399405756095,-0.0238832308023,-0.0417991417412,0.0702832867495,1950.0
15,0.157330332745,0.381743223138,0.0126354160898,-0.244390232768,0.0534002488832,1950.0
16,0.159332038569,0.30934762214,-0.00903102468267,-0.110995357433,0.0503490431249,1951.0
17,-0.0495501213721,0.217465066028,0.0390258306541,-0.212360065913,0.0352016232562,1951.0
18,-0.155724244275,0.123370424593,0.0323518770393,-0.0836061346295,0.0220306911701,1951.0
19,-0.139966044835,0.088344126649,0.06122719252,0.0693669130099,0.0521186073655,1951.0
20,-0.209031707122,0.0901989619768,0.0708008216829,0.0645840906425,0.0600152054655,1952.0
21,-0.0863518768668,0.0777009509486,0.0574251516383,0.148841432676,0.0657345320057,1952.0
22,0.0355799324326,0.0570638467209,0.0502280750995,0.075310200428,0.0528680319249,1952.0
23,-0.00470589103741,0.037786836366,0.00885230634626,-0.0693669130099,0.00528997325356,1952.0
24,-0.0340113754087,-0.0186404414043,0.00067055591596,-0.0975683666879,-0.0177995054841,1953.0
25,0.0950224514179,-0.0738403563414,0.00763844170879,-0.105624831177,-0.0245123704968,1953.0
26,0.0210534091978,-0.0847849768145,0.0234481202861,-0.0371264134578,-0.00759009540721,1953.0
27,0.100158328471,-0.0882212984923,0.0508895530457,0.0804742816304,0.0269966483562,1953.0
28,0.184515743083,-0.0619435932101,0.0694575264443,0.183012099525,0.0598052244001,1954.0
29,0.0241660658472,-0.0368474211829,0.0754257412059,0.243775169657,0.0748894944126,1954.0
30,0.121743436872,-0.00900906994237,0.0742105539511,0.211840721232,0.0769422286797,1954.0
31,0.0819011394738,-0.0225954295496,0.0658763406916,0.192225178399,0.0636566699599,1954.0
32,0.0903164116238,-0.0234807427139,0.0452969896026,0.0679254680013,0.0316136195145,1955.0
33,0.18068163608,0.00597876005923,0.0296833036775,0.00147863401182,0.0236950438018,1955.0
34,0.149055848541,-0.00864558699285,0.0196861476901,-0.0226981004753,0.00954154177493,1955.0
35,0.188202004971,0.0358247265181,0.0209112260882,-0.0553338859952,0.0197264719562,1955.0
36,0.205211513799,0.0575399297134,0.0261317845285,-0.0419097548803,0.0300493762229,1956.0
37,0.1098054873,0.0323659876066,0.0245356937781,-0.0348802647462,0.0196067332763,1956.0
38,0.0487361115762,0.0490922765734,0.0301483306878,-0.00358423322781,0.0301090422637,1956.0
39,-0.0264041741965,0.0410696015301,0.0169155659473,-0.0740153538338,0.00358990988433,1956.0
40,-0.194010401044,0.0106794565081,-0.00373330655858,-0.128347663987,-0.0290751217211,1957.0
41,-0.15906469463,0.0408348190613,0.00267007356216,-0.147795964866,-0.0203230913427,1957.0
42,-0.126605624272,0.0385682644085,0.0111252437757,-0.0963580056617,-0.00711870961691,1957.0
43,-0.0995555218971,0.0422511822725,0.0240330473592,0.0655509743981,0.0263159395334,1957.0
44,0.0693228500413,0.0397949633076,0.0558588600537,0.18855858325,0.0709601348519,1958.0
45,0.0973233781132,0.0273241042746,0.063012082826,0.283772346483,0.0884495435456,1958.0
46,0.124441121262,0.0298379662166,0.0570792040369,0.143122809352,0.063629773559,1958.0
47,0.100669728141,0.00139804296787,0.0448406939318,0.0932658107745,0.0444413478492,1958.0
48,0.154810310458,-0.00425403254723,0.0363064539017,0.135975151477,0.0480764076837,1959.0
49,0.183252222287,-0.00590740140964,0.0336094137228,-0.0367238329547,0.0202269772755,1959.0
50,0.127009630378,0.00955531084463,0.0192057116945,0.0275996115984,0.0246677659881,1959.0
51,0.174308842723,0.0243493719327,0.0193425505523,-0.121905181542,0.00853926054567,1959.0
52,0.0492139827814,0.0560525560669,0.00960041319636,-0.192219627706,-0.00671434535973,1960.0
53,-0.0263917296912,0.0476514026169,0.0117719202832,-0.0266757358957,0.0154997362468,1960.0
54,-0.00574164256768,0.0444858625862,0.0206570294609,0.0506403034576,0.0295360794716,1960.0
55,0.00466636404377,0.0594552589859,0.039222742891,0.184609887312,0.0617903710567,1960.0
56,0.00843886864586,0.0638485038598,0.0500863797035,0.211381592634,0.0728684920237,1961.0
57,0.114487789518,0.0663083061163,0.0474865155039,0.135769921106,0.0651732290005,1961.0
58,0.0614146449939,0.0682298898178,0.0507108266495,0.0779483383194,0.0581056225836,1961.0
